Time,Open,High,Low,Close,Volume,Timestamp,Year,Month,Day,Hour,Min,weekofYear,DayinWeek,FutureOpen,FutureHigh,FutureLow,FutureClose,FutureVolume
1577750520000,7209.75,7211.33,7200.0,7204.2,231.49400000000003,2019-12-31 00:02:00,2019,12,31,0,2,1,2,7204.02,7213.14,7201.78,7213.14,168.96200000000002
1577750580000,7204.02,7213.14,7201.78,7213.14,168.96200000000002,2019-12-31 00:03:00,2019,12,31,0,3,1,2,7213.14,7215.0,7203.72,7204.16,187.77599999999998
1577750640000,7213.14,7215.0,7203.72,7204.16,187.77599999999998,2019-12-31 00:04:00,2019,12,31,0,4,1,2,7204.16,7212.35,7202.57,7212.35,140.858
1577750700000,7204.16,7212.35,7202.57,7212.35,140.858,2019-12-31 00:05:00,2019,12,31,0,5,1,2,7211.89,7211.9,7209.98,7210.34,60.983999999999995
1577750760000,7211.89,7211.9,7209.98,7210.34,60.983999999999995,2019-12-31 00:06:00,2019,12,31,0,6,1,2,7210.71,7218.32,7210.57,7216.33,70.625
